id,season,city,date,home_team,away_team,toss_winner,toss_decision,venue,weight_home,weight_away,totMatch_home,totMatch_away,playerPtsSum_home,playerPtsSum_away,winner
48,2008,Chennai,21-05-2008,RCB,CSK,RCB,bat,"MA Chidambaram Stadium, Chepauk",90.85714286,101.875,14,16,1272,1630,home
49,2008,Chandigarh,23-05-2008,DC,KXIP,KXIP,field,"Punjab Cricket Association Stadium, Mohali",97,115.6,14,15,1358,1734,away
50,2008,Delhi,24-05-2008,MI,DD,DD,field,Feroz Shah Kotla,110,106,14,14,1540,1484,away
51,2008,Chennai,24-05-2008,RR,CSK,RR,bat,"MA Chidambaram Stadium, Chepauk",115,101.875,16,16,1840,1630,home
52,2008,Bangalore,03-05-2008,RCB,DC,DC,field,M Chinnaswamy Stadium,90.85714286,97,14,14,1272,1358,home
53,2008,Kolkata,25-05-2008,KXIP,KKR,KXIP,bat,Eden Gardens,115.6,95.76923077,15,13,1734,1245,away
54,2008,Jaipur,26-05-2008,MI,RR,RR,field,Sawai Mansingh Stadium,110,115,14,16,1540,1840,away
55,2008,Hyderabad,27-05-2008,DC,CSK,DC,bat,"Rajiv Gandhi International Stadium, Uppal",97,101.875,14,16,1358,1630,away
56,2008,Mumbai,30-05-2008,RR,DD,DD,field,Wankhede Stadium,115,106,16,14,1840,1484,home
57,2008,Mumbai,31-05-2008,KXIP,CSK,KXIP,bat,Wankhede Stadium,115.6,101.875,15,16,1734,1630,away
58,2008,Mumbai,01-06-2008,CSK,RR,RR,field,Dr DY Patil Sports Academy,101.875,115,16,16,1630,1840,away
59,2009,Cape Town,18-04-2009,MI,CSK,CSK,field,Newlands,110.2307692,110.7142857,13,14,1433,1550,home
60,2009,Cape Town,18-04-2009,RCB,RR,RCB,bat,Newlands,91.3125,91.61538462,16,13,1461,1191,home
61,2009,Cape Town,19-04-2009,KXIP,DD,DD,field,Newlands,89.78571429,93.26666667,14,15,1257,1399,away
62,2009,Cape Town,19-04-2009,KKR,DC,KKR,bat,Newlands,83.92307692,107.375,13,16,1091,1718,away
63,2009,Port Elizabeth,20-04-2009,CSK,RCB,CSK,bat,St George's Park,110.7142857,91.3125,14,16,1550,1461,home
64,2009,Durban,21-04-2009,KXIP,KKR,KKR,field,Kingsmead,89.78571429,83.92307692,14,13,1257,1091,away
