id,season,city,date,home_team,away_team,toss_winner,toss_decision,venue,winner,weight_home,weight_away,totMatch_home,totMatch_away,playerPtsSum_home,playerPtsSum_away
51,2008,Chennai,24-05-2008,RR,CSK,RR,bat,"MA Chidambaram Stadium, Chepauk",RR,0,0,0,0,0,0
52,2008,Bangalore,03-05-2008,RCB,DC,DC,field,M Chinnaswamy Stadium,RCB,0,0,0,0,0,0
53,2008,Kolkata,25-05-2008,KXIP,KKR,KXIP,bat,Eden Gardens,KKR,0,0,0,0,0,0
54,2008,Jaipur,26-05-2008,MI,RR,RR,field,Sawai Mansingh Stadium,RR,0,0,0,0,0,0
55,2008,Hyderabad,27-05-2008,DC,CSK,DC,bat,"Rajiv Gandhi International Stadium, Uppal",CSK,0,0,0,0,0,0
56,2008,Mumbai,30-05-2008,RR,DD,DD,field,Wankhede Stadium,RR,0,0,0,0,0,0
57,2008,Mumbai,31-05-2008,KXIP,CSK,KXIP,bat,Wankhede Stadium,CSK,0,0,0,0,0,0
58,2008,Mumbai,01-06-2008,CSK,RR,RR,field,Dr DY Patil Sports Academy,RR,0,0,0,0,0,0
59,2009,Cape Town,18-04-2009,MI,CSK,CSK,field,Newlands,MI,0,0,0,0,0,0
60,2009,Cape Town,18-04-2009,RCB,RR,RCB,bat,Newlands,RCB,0,0,0,0,0,0
61,2009,Cape Town,19-04-2009,KXIP,DD,DD,field,Newlands,DD,0,0,0,0,0,0
62,2009,Cape Town,19-04-2009,KKR,DC,KKR,bat,Newlands,DC,0,0,0,0,0,0
63,2009,Port Elizabeth,20-04-2009,CSK,RCB,CSK,bat,St George's Park,CSK,0,0,0,0,0,0
64,2009,Durban,21-04-2009,KXIP,KKR,KKR,field,Kingsmead,KKR,0,0,0,0,0,0
65,2009,Cape Town,22-04-2009,DC,RCB,DC,bat,Newlands,DC,0,0,0,0,0,0
66,2009,Durban,23-04-2009,DD,CSK,DD,bat,Kingsmead,DD,0,0,0,0,0,0
67,2009,Cape Town,23-04-2009,RR,KKR,KKR,field,Newlands,RR,0,0,0,0,0,0
68,2009,Durban,24-04-2009,RCB,KXIP,RCB,bat,Kingsmead,KXIP,0,0,0,0,0,0
69,2009,Durban,25-04-2009,DC,MI,DC,bat,Kingsmead,DC,0,0,0,0,0,0
70,2009,Port Elizabeth,26-04-2009,RCB,DD,RCB,bat,St George's Park,DD,0,0,0,0,0,0
71,2009,Cape Town,26-04-2009,KXIP,RR,KXIP,bat,Newlands,KXIP,0,0,0,0,0,0
72,2009,Durban,27-04-2009,CSK,DC,DC,field,Kingsmead,DC,0,0,0,0,0,0
73,2009,Port Elizabeth,27-04-2009,MI,KKR,MI,bat,St George's Park,MI,0,0,0,0,0,0
74,2009,Centurion,28-04-2009,DD,RR,DD,bat,SuperSport Park,RR,0,0,0,0,0,0
75,2009,Durban,29-04-2009,KKR,RCB,KKR,bat,Kingsmead,RCB,0,0,0,0,0,0
76,2009,Durban,29-04-2009,KXIP,MI,KXIP,bat,Kingsmead,KXIP,0,0,0,0,0,0
77,2009,Centurion,30-04-2009,DC,DD,DD,field,SuperSport Park,DD,0,0,0,0,0,0
78,2009,Centurion,30-04-2009,CSK,RR,RR,field,SuperSport Park,CSK,0,0,0,0,0,0
79,2009,East London,01-05-2009,MI,KKR,MI,bat,Buffalo Park,MI,0,0,0,0,0,0
80,2009,Durban,01-05-2009,RCB,KXIP,RCB,bat,Kingsmead,RCB,0,0,0,0,0,0
81,2009,Port Elizabeth,02-05-2009,DC,RR,DC,bat,St George's Park,RR,0,0,0,0,0,0
82,2009,Johannesburg,02-05-2009,CSK,DD,DD,field,New Wanderers Stadium,CSK,0,0,0,0,0,0
83,2009,Port Elizabeth,03-05-2009,KKR,KXIP,KKR,bat,St George's Park,KXIP,0,0,0,0,0,0
84,2009,Johannesburg,03-05-2009,MI,RCB,MI,bat,New Wanderers Stadium,RCB,0,0,0,0,0,0
85,2009,East London,04-05-2009,CSK,DC,CSK,bat,Buffalo Park,CSK,0,0,0,0,0,0
86,2009,Durban,05-05-2009,RR,KXIP,KXIP,field,Kingsmead,RR,0,0,0,0,0,0
87,2009,Durban,05-05-2009,KKR,DD,KKR,bat,Kingsmead,DD,0,0,0,0,0,0
88,2009,Centurion,06-05-2009,DC,MI,DC,bat,SuperSport Park,DC,0,0,0,0,0,0
89,2009,Centurion,07-05-2009,RCB,RR,RR,field,SuperSport Park,RR,0,0,0,0,0,0
90,2009,Centurion,07-05-2009,CSK,KXIP,CSK,bat,SuperSport Park,CSK,0,0,0,0,0,0
91,2009,East London,08-05-2009,MI,DD,MI,bat,Buffalo Park,DD,0,0,0,0,0,0
92,2009,Kimberley,09-05-2009,DC,KXIP,KXIP,field,De Beers Diamond Oval,KXIP,0,0,0,0,0,0
93,2009,Kimberley,09-05-2009,RR,CSK,RR,bat,De Beers Diamond Oval,CSK,0,0,0,0,0,0
94,2009,Port Elizabeth,10-05-2009,MI,RCB,MI,bat,St George's Park,MI,0,0,0,0,0,0
95,2009,Johannesburg,10-05-2009,KKR,DD,DD,field,New Wanderers Stadium,DD,0,0,0,0,0,0
96,2009,Kimberley,11-05-2009,DC,RR,DC,bat,De Beers Diamond Oval,DC,0,0,0,0,0,0
97,2009,Centurion,12-05-2009,KKR,RCB,RCB,field,SuperSport Park,RCB,0,0,0,0,0,0
98,2009,Centurion,12-05-2009,KXIP,MI,KXIP,bat,SuperSport Park,MI,0,0,0,0,0,0
99,2009,Durban,13-05-2009,DD,DC,DC,field,Kingsmead,DD,0,0,0,0,0,0
100,2009,Durban,14-05-2009,CSK,RCB,CSK,bat,Kingsmead,RCB,0,0,0,0,0,0
101,2009,Durban,14-05-2009,RR,MI,RR,bat,Kingsmead,RR,0,0,0,0,0,0
102,2009,Bloemfontein,15-05-2009,DD,KXIP,KXIP,field,OUTsurance Oval,KXIP,0,0,0,0,0,0
103,2009,Port Elizabeth,16-05-2009,MI,CSK,MI,bat,St George's Park,CSK,0,0,0,0,0,0
104,2009,Johannesburg,16-05-2009,KKR,DC,DC,field,New Wanderers Stadium,DC,0,0,0,0,0,0
105,2009,Johannesburg,17-05-2009,KXIP,DC,DC,field,New Wanderers Stadium,KXIP,0,0,0,0,0,0
106,2009,Bloemfontein,17-05-2009,DD,RR,DD,bat,OUTsurance Oval,DD,0,0,0,0,0,0
107,2009,Centurion,18-05-2009,CSK,KKR,CSK,bat,SuperSport Park,KKR,0,0,0,0,0,0
108,2009,Johannesburg,19-05-2009,DD,RCB,DD,bat,New Wanderers Stadium,RCB,0,0,0,0,0,0
109,2009,Durban,20-05-2009,RR,KKR,KKR,field,Kingsmead,KKR,0,0,0,0,0,0
110,2009,Durban,20-05-2009,CSK,KXIP,CSK,bat,Kingsmead,CSK,0,0,0,0,0,0
111,2009,Centurion,21-05-2009,MI,DD,DD,field,SuperSport Park,DD,0,0,0,0,0,0
112,2009,Centurion,21-05-2009,RCB,DC,RCB,bat,SuperSport Park,RCB,0,0,0,0,0,0
113,2009,Centurion,22-05-2009,DD,DC,DC,field,SuperSport Park,DC,0,0,0,0,0,0
114,2009,Johannesburg,23-05-2009,CSK,RCB,RCB,field,New Wanderers Stadium,RCB,0,0,0,0,0,0
115,2009,Johannesburg,24-05-2009,DC,RCB,RCB,field,New Wanderers Stadium,DC,0,0,0,0,0,0
116,2010,Mumbai,12-03-2010,KKR,DC,DC,field,Dr DY Patil Sports Academy,KKR,0,0,0,0,0,0
117,2010,Mumbai,13-03-2010,MI,RR,MI,bat,Brabourne Stadium,MI,0,0,0,0,0,0
118,2010,Chandigarh,13-03-2010,KXIP,DD,DD,field,"Punjab Cricket Association Stadium, Mohali",DD,0,0,0,0,0,0
119,2010,Kolkata,14-03-2010,RCB,KKR,KKR,field,Eden Gardens,KKR,0,0,0,0,0,0
120,2010,Chennai,14-03-2010,DC,CSK,DC,bat,"MA Chidambaram Stadium, Chepauk",DC,0,0,0,0,0,0
121,2010,Ahmedabad,15-03-2010,RR,DD,DD,field,"Sardar Patel Stadium, Motera",DD,0,0,0,0,0,0
122,2010,Bangalore,16-03-2010,KXIP,RCB,KXIP,bat,M Chinnaswamy Stadium,RCB,0,0,0,0,0,0
123,2010,Kolkata,16-03-2010,CSK,KKR,CSK,bat,Eden Gardens,CSK,0,0,0,0,0,0
124,2010,Delhi,17-03-2010,MI,DD,DD,field,Feroz Shah Kotla,MI,0,0,0,0,0,0
125,2010,Bangalore,18-03-2010,RR,RCB,RCB,field,M Chinnaswamy Stadium,RCB,0,0,0,0,0,0
126,2010,Delhi,19-03-2010,DD,CSK,DD,bat,Feroz Shah Kotla,CSK,0,0,0,0,0,0
127,2010,Cuttack,19-03-2010,DC,KXIP,KXIP,field,Barabati Stadium,DC,0,0,0,0,0,0
128,2010,Ahmedabad,20-03-2010,RR,KKR,RR,bat,"Sardar Patel Stadium, Motera",RR,0,0,0,0,0,0
129,2010,Mumbai,20-03-2010,MI,RCB,MI,bat,Brabourne Stadium,RCB,0,0,0,0,0,0
130,2010,Cuttack,21-03-2010,DC,DD,DC,bat,Barabati Stadium,DC,0,0,0,0,0,0
