,id,season,city,date,home_team,away_team,toss_winner,toss_decision,venue,winner,weight_home,weight_away,totMatch_home,totMatch_away,playerPtsSum_home,playerPtsSum_away
20,21,2008,Hyderabad,25-05-2008,DC,RCB,DC,bat,"Rajiv Gandhi International Stadium, Uppal",away,97.0,90.85714286,14,14,1358,1272
21,22,2008,Chandigarh,03-05-2008,KXIP,KKR,KXIP,bat,"Punjab Cricket Association Stadium, Mohali",home,115.6,95.76923077,15,13,1734,1245
22,23,2008,Mumbai,04-05-2008,MI,DD,DD,field,Dr DY Patil Sports Academy,home,110.0,106.0,14,14,1540,1484
23,24,2008,Jaipur,04-05-2008,CSK,RR,CSK,bat,Sawai Mansingh Stadium,away,101.875,115.0,16,16,1630,1840
24,25,2008,Bangalore,05-05-2008,RCB,KXIP,KXIP,field,M Chinnaswamy Stadium,away,90.85714286,115.6,14,15,1272,1734
25,26,2008,Chennai,06-05-2008,CSK,DC,DC,field,"MA Chidambaram Stadium, Chepauk",away,101.875,97.0,16,14,1630,1358
26,27,2008,Mumbai,07-05-2008,RR,MI,MI,field,Dr DY Patil Sports Academy,away,115.0,110.0,16,14,1840,1540
27,28,2008,Delhi,08-05-2008,DD,CSK,CSK,field,Feroz Shah Kotla,away,106.0,101.875,14,16,1484,1630
28,29,2008,Kolkata,08-05-2008,KKR,RCB,KKR,bat,Eden Gardens,home,95.76923077,90.85714286,13,14,1245,1272
29,30,2008,Jaipur,09-05-2008,DC,RR,RR,field,Sawai Mansingh Stadium,away,97.0,115.0,14,16,1358,1840
30,31,2008,Bangalore,28-05-2008,RCB,MI,MI,field,M Chinnaswamy Stadium,away,90.85714286,110.0,14,14,1272,1540
31,32,2008,Chennai,10-05-2008,CSK,KXIP,KXIP,field,"MA Chidambaram Stadium, Chepauk",home,101.875,115.6,16,15,1630,1734
32,33,2008,Hyderabad,11-05-2008,KKR,DC,KKR,bat,"Rajiv Gandhi International Stadium, Uppal",home,95.76923077,97.0,13,14,1245,1358
33,34,2008,Jaipur,11-05-2008,DD,RR,RR,field,Sawai Mansingh Stadium,away,106.0,115.0,14,16,1484,1840
34,35,2008,Chandigarh,12-05-2008,RCB,KXIP,RCB,bat,"Punjab Cricket Association Stadium, Mohali",away,90.85714286,115.6,14,15,1272,1734
35,36,2008,Kolkata,13-05-2008,KKR,DD,KKR,bat,Eden Gardens,home,95.76923077,106.0,13,14,1245,1484
36,37,2008,Mumbai,14-05-2008,CSK,MI,MI,field,Wankhede Stadium,away,101.875,110.0,16,14,1630,1540
37,38,2008,Chandigarh,28-05-2008,KXIP,RR,RR,field,"Punjab Cricket Association Stadium, Mohali",home,115.6,115.0,15,16,1734,1840
38,39,2008,Delhi,15-05-2008,DD,DC,DC,field,Feroz Shah Kotla,home,106.0,97.0,14,14,1484,1358
39,40,2008,Mumbai,16-05-2008,KKR,MI,MI,field,Wankhede Stadium,away,95.76923077,110.0,13,14,1245,1540
40,41,2008,Delhi,17-05-2008,DD,KXIP,DD,bat,Feroz Shah Kotla,away,106.0,115.6,14,15,1484,1734
41,42,2008,Jaipur,17-05-2008,RR,RCB,RCB,field,Sawai Mansingh Stadium,home,115.0,90.85714286,16,14,1840,1272
42,43,2008,Hyderabad,18-05-2008,MI,DC,DC,field,"Rajiv Gandhi International Stadium, Uppal",home,110.0,97.0,14,14,1540,1358
43,44,2008,Kolkata,18-05-2008,KKR,CSK,KKR,bat,Eden Gardens,away,95.76923077,101.875,13,16,1245,1630
44,45,2008,Bangalore,19-05-2008,RCB,DD,DD,field,M Chinnaswamy Stadium,away,90.85714286,106.0,14,14,1272,1484
45,46,2008,Kolkata,20-05-2008,KKR,RR,RR,field,Eden Gardens,away,95.76923077,115.0,13,16,1245,1840
46,47,2008,Mumbai,21-05-2008,KXIP,MI,MI,field,Wankhede Stadium,home,115.6,110.0,15,14,1734,1540
47,48,2008,Chennai,21-05-2008,RCB,CSK,RCB,bat,"MA Chidambaram Stadium, Chepauk",home,90.85714286,101.875,14,16,1272,1630
48,49,2008,Chandigarh,23-05-2008,DC,KXIP,KXIP,field,"Punjab Cricket Association Stadium, Mohali",away,97.0,115.6,14,15,1358,1734
49,50,2008,Delhi,24-05-2008,MI,DD,DD,field,Feroz Shah Kotla,away,110.0,106.0,14,14,1540,1484
50,51,2008,Chennai,24-05-2008,RR,CSK,RR,bat,"MA Chidambaram Stadium, Chepauk",home,115.0,101.875,16,16,1840,1630
51,52,2008,Bangalore,03-05-2008,RCB,DC,DC,field,M Chinnaswamy Stadium,home,90.85714286,97.0,14,14,1272,1358
52,53,2008,Kolkata,25-05-2008,KXIP,KKR,KXIP,bat,Eden Gardens,away,115.6,95.76923077,15,13,1734,1245
53,54,2008,Jaipur,26-05-2008,MI,RR,RR,field,Sawai Mansingh Stadium,away,110.0,115.0,14,16,1540,1840
54,55,2008,Hyderabad,27-05-2008,DC,CSK,DC,bat,"Rajiv Gandhi International Stadium, Uppal",away,97.0,101.875,14,16,1358,1630
55,56,2008,Mumbai,30-05-2008,RR,DD,DD,field,Wankhede Stadium,home,115.0,106.0,16,14,1840,1484
56,57,2008,Mumbai,31-05-2008,KXIP,CSK,KXIP,bat,Wankhede Stadium,away,115.6,101.875,15,16,1734,1630
57,58,2008,Mumbai,01-06-2008,CSK,RR,RR,field,Dr DY Patil Sports Academy,away,101.875,115.0,16,16,1630,1840
58,59,2009,Cape Town,18-04-2009,MI,CSK,CSK,field,Newlands,home,110.2307692,110.7142857,13,14,1433,1550
59,60,2009,Cape Town,18-04-2009,RCB,RR,RCB,bat,Newlands,home,91.3125,91.61538462,16,13,1461,1191
60,61,2009,Cape Town,19-04-2009,KXIP,DD,DD,field,Newlands,away,89.78571429,93.26666667,14,15,1257,1399
61,62,2009,Cape Town,19-04-2009,KKR,DC,KKR,bat,Newlands,away,83.92307692,107.375,13,16,1091,1718
62,63,2009,Port Elizabeth,20-04-2009,CSK,RCB,CSK,bat,St George's Park,home,110.7142857,91.3125,14,16,1550,1461
63,64,2009,Durban,21-04-2009,KXIP,KKR,KKR,field,Kingsmead,away,89.78571429,83.92307692,14,13,1257,1091
64,65,2009,Cape Town,22-04-2009,DC,RCB,DC,bat,Newlands,home,107.375,91.3125,16,16,1718,1461
65,66,2009,Durban,23-04-2009,DD,CSK,DD,bat,Kingsmead,home,93.26666667,110.7142857,15,14,1399,1550
66,67,2009,Cape Town,23-04-2009,RR,KKR,KKR,field,Newlands,home,91.61538462,83.92307692,13,13,1191,1091
67,68,2009,Durban,24-04-2009,RCB,KXIP,RCB,bat,Kingsmead,away,91.3125,89.78571429,16,14,1461,1257
68,69,2009,Durban,25-04-2009,DC,MI,DC,bat,Kingsmead,home,107.375,110.2307692,16,13,1718,1433
69,70,2009,Port Elizabeth,26-04-2009,RCB,DD,RCB,bat,St George's Park,away,91.3125,93.26666667,16,15,1461,1399
70,71,2009,Cape Town,26-04-2009,KXIP,RR,KXIP,bat,Newlands,home,89.78571429,91.61538462,14,13,1257,1191
71,72,2009,Durban,27-04-2009,CSK,DC,DC,field,Kingsmead,away,110.7142857,107.375,14,16,1550,1718
72,73,2009,Port Elizabeth,27-04-2009,MI,KKR,MI,bat,St George's Park,home,110.2307692,83.92307692,13,13,1433,1091
73,74,2009,Centurion,28-04-2009,DD,RR,DD,bat,SuperSport Park,away,93.26666667,91.61538462,15,13,1399,1191
74,75,2009,Durban,29-04-2009,KKR,RCB,KKR,bat,Kingsmead,away,83.92307692,91.3125,13,16,1091,1461
75,76,2009,Durban,29-04-2009,KXIP,MI,KXIP,bat,Kingsmead,home,89.78571429,110.2307692,14,13,1257,1433
76,77,2009,Centurion,30-04-2009,DC,DD,DD,field,SuperSport Park,away,107.375,93.26666667,16,15,1718,1399
77,78,2009,Centurion,30-04-2009,CSK,RR,RR,field,SuperSport Park,home,110.7142857,91.61538462,14,13,1550,1191
78,79,2009,East London,01-05-2009,MI,KKR,MI,bat,Buffalo Park,home,110.2307692,83.92307692,13,13,1433,1091
79,80,2009,Durban,01-05-2009,RCB,KXIP,RCB,bat,Kingsmead,home,91.3125,89.78571429,16,14,1461,1257
80,81,2009,Port Elizabeth,02-05-2009,DC,RR,DC,bat,St George's Park,away,107.375,91.61538462,16,13,1718,1191
81,82,2009,Johannesburg,02-05-2009,CSK,DD,DD,field,New Wanderers Stadium,home,110.7142857,93.26666667,14,15,1550,1399
82,83,2009,Port Elizabeth,03-05-2009,KKR,KXIP,KKR,bat,St George's Park,away,83.92307692,89.78571429,13,14,1091,1257
83,84,2009,Johannesburg,03-05-2009,MI,RCB,MI,bat,New Wanderers Stadium,away,110.2307692,91.3125,13,16,1433,1461
84,85,2009,East London,04-05-2009,CSK,DC,CSK,bat,Buffalo Park,home,110.7142857,107.375,14,16,1550,1718
85,86,2009,Durban,05-05-2009,RR,KXIP,KXIP,field,Kingsmead,home,91.61538462,89.78571429,13,14,1191,1257
86,87,2009,Durban,05-05-2009,KKR,DD,KKR,bat,Kingsmead,away,83.92307692,93.26666667,13,15,1091,1399
87,88,2009,Centurion,06-05-2009,DC,MI,DC,bat,SuperSport Park,home,107.375,110.2307692,16,13,1718,1433
88,89,2009,Centurion,07-05-2009,RCB,RR,RR,field,SuperSport Park,away,91.3125,91.61538462,16,13,1461,1191
89,90,2009,Centurion,07-05-2009,CSK,KXIP,CSK,bat,SuperSport Park,home,110.7142857,89.78571429,14,14,1550,1257
90,91,2009,East London,08-05-2009,MI,DD,MI,bat,Buffalo Park,away,110.2307692,93.26666667,13,15,1433,1399
91,92,2009,Kimberley,09-05-2009,DC,KXIP,KXIP,field,De Beers Diamond Oval,away,107.375,89.78571429,16,14,1718,1257
92,93,2009,Kimberley,09-05-2009,RR,CSK,RR,bat,De Beers Diamond Oval,away,91.61538462,110.7142857,13,14,1191,1550
93,94,2009,Port Elizabeth,10-05-2009,MI,RCB,MI,bat,St George's Park,home,110.2307692,91.3125,13,16,1433,1461
94,95,2009,Johannesburg,10-05-2009,KKR,DD,DD,field,New Wanderers Stadium,away,83.92307692,93.26666667,13,15,1091,1399
95,96,2009,Kimberley,11-05-2009,DC,RR,DC,bat,De Beers Diamond Oval,home,107.375,91.61538462,16,13,1718,1191
96,97,2009,Centurion,12-05-2009,KKR,RCB,RCB,field,SuperSport Park,away,83.92307692,91.3125,13,16,1091,1461
97,98,2009,Centurion,12-05-2009,KXIP,MI,KXIP,bat,SuperSport Park,away,89.78571429,110.2307692,14,13,1257,1433
98,99,2009,Durban,13-05-2009,DD,DC,DC,field,Kingsmead,home,93.26666667,107.375,15,16,1399,1718
99,100,2009,Durban,14-05-2009,CSK,RCB,CSK,bat,Kingsmead,away,110.7142857,91.3125,14,16,1550,1461
100,101,2009,Durban,14-05-2009,RR,MI,RR,bat,Kingsmead,home,91.61538462,110.2307692,13,13,1191,1433
101,102,2009,Bloemfontein,15-05-2009,DD,KXIP,KXIP,field,OUTsurance Oval,away,93.26666667,89.78571429,15,14,1399,1257
102,103,2009,Port Elizabeth,16-05-2009,MI,CSK,MI,bat,St George's Park,away,110.2307692,110.7142857,13,14,1433,1550
103,104,2009,Johannesburg,16-05-2009,KKR,DC,DC,field,New Wanderers Stadium,away,83.92307692,107.375,13,16,1091,1718
104,105,2009,Johannesburg,17-05-2009,KXIP,DC,DC,field,New Wanderers Stadium,home,89.78571429,107.375,14,16,1257,1718
105,106,2009,Bloemfontein,17-05-2009,DD,RR,DD,bat,OUTsurance Oval,home,93.26666667,91.61538462,15,13,1399,1191
106,107,2009,Centurion,18-05-2009,CSK,KKR,CSK,bat,SuperSport Park,away,110.7142857,83.92307692,14,13,1550,1091
107,108,2009,Johannesburg,19-05-2009,DD,RCB,DD,bat,New Wanderers Stadium,away,93.26666667,91.3125,15,16,1399,1461
108,109,2009,Durban,20-05-2009,RR,KKR,KKR,field,Kingsmead,away,91.61538462,83.92307692,13,13,1191,1091
109,110,2009,Durban,20-05-2009,CSK,KXIP,CSK,bat,Kingsmead,home,110.7142857,89.78571429,14,14,1550,1257
110,111,2009,Centurion,21-05-2009,MI,DD,DD,field,SuperSport Park,away,110.2307692,93.26666667,13,15,1433,1399
111,112,2009,Centurion,21-05-2009,RCB,DC,RCB,bat,SuperSport Park,home,91.3125,107.375,16,16,1461,1718
112,113,2009,Centurion,22-05-2009,DD,DC,DC,field,SuperSport Park,away,93.26666667,107.375,15,16,1399,1718
113,114,2009,Johannesburg,23-05-2009,CSK,RCB,RCB,field,New Wanderers Stadium,away,110.7142857,91.3125,14,16,1550,1461
114,115,2009,Johannesburg,24-05-2009,DC,RCB,RCB,field,New Wanderers Stadium,home,107.375,91.3125,16,16,1718,1461
115,116,2010,Mumbai,12-03-2010,KKR,DC,DC,field,Dr DY Patil Sports Academy,home,87.28571429,105.875,14,16,1222,1694
116,117,2010,Mumbai,13-03-2010,MI,RR,MI,bat,Brabourne Stadium,home,105.125,95.64285714,16,14,1682,1339
117,118,2010,Chandigarh,13-03-2010,KXIP,DD,DD,field,"Punjab Cricket Association Stadium, Mohali",away,102.3571429,93.85714286,14,14,1433,1314
118,119,2010,Kolkata,14-03-2010,RCB,KKR,KKR,field,Eden Gardens,away,112.625,87.28571429,16,14,1802,1222
119,120,2010,Chennai,14-03-2010,DC,CSK,DC,bat,"MA Chidambaram Stadium, Chepauk",home,105.875,114.125,16,16,1694,1826
120,121,2010,Ahmedabad,15-03-2010,RR,DD,DD,field,"Sardar Patel Stadium, Motera",away,95.64285714,93.85714286,14,14,1339,1314
121,122,2010,Bangalore,16-03-2010,KXIP,RCB,KXIP,bat,M Chinnaswamy Stadium,away,102.3571429,112.625,14,16,1433,1802
122,123,2010,Kolkata,16-03-2010,CSK,KKR,CSK,bat,Eden Gardens,home,114.125,87.28571429,16,14,1826,1222
123,124,2010,Delhi,17-03-2010,MI,DD,DD,field,Feroz Shah Kotla,home,105.125,93.85714286,16,14,1682,1314
124,125,2010,Bangalore,18-03-2010,RR,RCB,RCB,field,M Chinnaswamy Stadium,away,95.64285714,112.625,14,16,1339,1802
125,126,2010,Delhi,19-03-2010,DD,CSK,DD,bat,Feroz Shah Kotla,away,93.85714286,114.125,14,16,1314,1826
126,127,2010,Cuttack,19-03-2010,DC,KXIP,KXIP,field,Barabati Stadium,home,105.875,102.3571429,16,14,1694,1433
127,128,2010,Ahmedabad,20-03-2010,RR,KKR,RR,bat,"Sardar Patel Stadium, Motera",home,95.64285714,87.28571429,14,14,1339,1222
128,129,2010,Mumbai,20-03-2010,MI,RCB,MI,bat,Brabourne Stadium,away,105.125,112.625,16,16,1682,1802
129,130,2010,Cuttack,21-03-2010,DC,DD,DC,bat,Barabati Stadium,home,105.875,93.85714286,16,14,1694,1314
130,131,2010,Chennai,21-03-2010,KXIP,CSK,CSK,field,"MA Chidambaram Stadium, Chepauk",home,102.3571429,114.125,14,16,1433,1826
131,132,2010,Mumbai,22-03-2010,KKR,MI,KKR,bat,Brabourne Stadium,away,87.28571429,105.125,14,16,1222,1682
132,133,2010,Bangalore,23-03-2010,RCB,CSK,CSK,field,M Chinnaswamy Stadium,home,112.625,114.125,16,16,1802,1826
133,134,2010,Chandigarh,24-03-2010,RR,KXIP,KXIP,field,"Punjab Cricket Association Stadium, Mohali",home,95.64285714,102.3571429,14,14,1339,1433
134,135,2010,Mumbai,25-03-2010,CSK,MI,MI,field,Brabourne Stadium,away,114.125,105.125,16,16,1826,1682
135,136,2010,Ahmedabad,26-03-2010,DC,RR,DC,bat,"Sardar Patel Stadium, Motera",away,105.875,95.64285714,16,14,1694,1339
136,137,2010,Chandigarh,27-03-2010,KKR,KXIP,KKR,bat,"Punjab Cricket Association Stadium, Mohali",home,87.28571429,102.3571429,14,14,1222,1433
137,138,2010,Bangalore,25-03-2010,DD,RCB,RCB,field,M Chinnaswamy Stadium,home,93.85714286,112.625,14,16,1314,1802
138,139,2010,Ahmedabad,28-03-2010,RR,CSK,RR,bat,"Sardar Patel Stadium, Motera",home,95.64285714,114.125,14,16,1339,1826
139,140,2010,Mumbai,28-03-2010,MI,DC,DC,field,Dr DY Patil Sports Academy,home,105.125,105.875,16,16,1682,1694
140,141,2010,Delhi,29-03-2010,DD,KKR,DD,bat,Feroz Shah Kotla,home,93.85714286,87.28571429,14,14,1314,1222
141,142,2010,Mumbai,30-03-2010,KXIP,MI,MI,field,Brabourne Stadium,away,102.3571429,105.125,14,16,1433,1682
142,143,2010,Chennai,31-03-2010,RCB,CSK,RCB,bat,"MA Chidambaram Stadium, Chepauk",away,112.625,114.125,16,16,1802,1826
143,144,2010,Delhi,31-03-2010,DD,RR,DD,bat,Feroz Shah Kotla,home,93.85714286,95.64285714,14,14,1314,1339
144,145,2010,Kolkata,01-04-2010,KKR,DC,KKR,bat,Eden Gardens,home,87.28571429,105.875,14,16,1222,1694
145,146,2010,Chandigarh,02-04-2010,KXIP,RCB,KXIP,bat,"Punjab Cricket Association Stadium, Mohali",away,102.3571429,112.625,14,16,1433,1802
146,147,2010,Chennai,03-04-2010,CSK,RR,CSK,bat,"MA Chidambaram Stadium, Chepauk",home,114.125,95.64285714,16,14,1826,1339
