id,season,city,date,home_team,away_team,toss_winner,toss_decision,venue,winner,weight_home,weight_away,totMatch_home,totMatch_away,playerPtsSum_home,playerPtsSum_away
18,2008,Hyderabad,01-05-2008,DC,KXIP,KXIP,field,"Rajiv Gandhi International Stadium, Uppal",KXIP,97,115.6,14,15,1358,1734
19,2008,Jaipur,01-05-2008,RR,KKR,RR,bat,Sawai Mansingh Stadium,RR,115,95.76923077,16,13,1840,1245
20,2008,Chennai,02-05-2008,CSK,DD,CSK,bat,"MA Chidambaram Stadium, Chepauk",DD,101.875,106,16,14,1630,1484
21,2008,Hyderabad,25-05-2008,DC,RCB,DC,bat,"Rajiv Gandhi International Stadium, Uppal",RCB,97,90.85714286,14,14,1358,1272
22,2008,Chandigarh,03-05-2008,KXIP,KKR,KXIP,bat,"Punjab Cricket Association Stadium, Mohali",KXIP,115.6,95.76923077,15,13,1734,1245
23,2008,Mumbai,04-05-2008,MI,DD,DD,field,Dr DY Patil Sports Academy,MI,110,106,14,14,1540,1484
24,2008,Jaipur,04-05-2008,CSK,RR,CSK,bat,Sawai Mansingh Stadium,RR,101.875,115,16,16,1630,1840
25,2008,Bangalore,05-05-2008,RCB,KXIP,KXIP,field,M Chinnaswamy Stadium,KXIP,90.85714286,115.6,14,15,1272,1734
26,2008,Chennai,06-05-2008,CSK,DC,DC,field,"MA Chidambaram Stadium, Chepauk",DC,101.875,97,16,14,1630,1358
27,2008,Mumbai,07-05-2008,RR,MI,MI,field,Dr DY Patil Sports Academy,MI,115,110,16,14,1840,1540
28,2008,Delhi,08-05-2008,DD,CSK,CSK,field,Feroz Shah Kotla,CSK,106,101.875,14,16,1484,1630
29,2008,Kolkata,08-05-2008,KKR,RCB,KKR,bat,Eden Gardens,KKR,95.76923077,90.85714286,13,14,1245,1272
30,2008,Jaipur,09-05-2008,DC,RR,RR,field,Sawai Mansingh Stadium,RR,97,115,14,16,1358,1840
31,2008,Bangalore,28-05-2008,RCB,MI,MI,field,M Chinnaswamy Stadium,MI,90.85714286,110,14,14,1272,1540
32,2008,Chennai,10-05-2008,CSK,KXIP,KXIP,field,"MA Chidambaram Stadium, Chepauk",CSK,101.875,115.6,16,15,1630,1734
33,2008,Hyderabad,11-05-2008,KKR,DC,KKR,bat,"Rajiv Gandhi International Stadium, Uppal",KKR,95.76923077,97,13,14,1245,1358
34,2008,Jaipur,11-05-2008,DD,RR,RR,field,Sawai Mansingh Stadium,RR,106,115,14,16,1484,1840
35,2008,Chandigarh,12-05-2008,RCB,KXIP,RCB,bat,"Punjab Cricket Association Stadium, Mohali",KXIP,90.85714286,115.6,14,15,1272,1734
36,2008,Kolkata,13-05-2008,KKR,DD,KKR,bat,Eden Gardens,KKR,95.76923077,106,13,14,1245,1484
